R1,-12.80,22.40,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,-23.20,68.40,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,95.40,10.40,90.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,123.35,-18.70,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,60.50,36.50,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,95.40,19.60,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,48.60,-9.40,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,124.50,-18.70,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,60.10,39.10,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,123.54,20.48,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,123.52,21.78,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,90.60,12.30,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,46.10,-13.00,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,43.80,-12.00,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,11.50,19.50,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,14.50,19.50,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,-0.20,29.00,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,15.90,19.50,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,49.50,-1.40,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_BOOT,21.00,82.70,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,56.90,21.80,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,35.58,82.60,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,51.50,-1.40,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,-4.40,82.90,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,124.91,-14.60,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,43.50,-14.00,0.00,,SJ
TP1,-29.20,45.30,0.00,TPTP20R,TP20R
TP10,-2.20,-21.50,0.00,TPTP20R,TP20R
TP11,10.10,-21.30,0.00,TPTP20R,TP20R
TP12,7.10,-21.40,0.00,TPTP20R,TP20R
TP13,4.10,-21.50,0.00,TPTP20R,TP20R
TP14,118.40,35.20,0.00,TPTP20R,TP20R
TP15,55.50,46.20,0.00,TPTP20R,TP20R
TP16,94.20,39.40,0.00,TPTP20R,TP20R
TP17,89.70,39.40,0.00,TPTP20R,TP20R
TP2,-29.10,47.90,0.00,TPTP20R,TP20R
TP3,118.30,39.10,0.00,TPTP20R,TP20R
TP4,-28.52,22.60,0.00,TPTP20R,TP20R
TP5,-28.50,17.40,0.00,TPTP20R,TP20R
TP6,-28.40,14.20,0.00,TPTP20R,TP20R
TP7,-28.30,11.00,0.00,TPTP20R,TP20R
TP8,-28.30,7.70,0.00,TPTP20R,TP20R
TP9,1.00,-21.40,0.00,TPTP20R,TP20R
U1,5.00,35.00,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,-16.01,34.01,90.20,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,53.60,31.10,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,106.10,26.70,0.00,MAX17048G+T10,SON50P200X200X80-9N
